sample_version,rule_name,total_trades,filtered_count,filtered_loss_count,filtered_win_count,filtered_bottom10_loss_count,filtered_top10_winner_count,loss_capture_rate_pct,win_kill_rate_pct,top10_kill_rate_pct,kept_count,kept_win_rate_pct,kept_avg_net_return_pct,kept_median_net_return_pct,kept_max_loss_pct
v1.3-threshold-1.5,any_launch_or_confirm_divergence,48,23,7,16,6,4,53.85,45.71,40.0,25,76.0,6.08,3.23,-8.95
v1.3-threshold-1.5,confirm_diff_gt_q50_78270564,48,15,6,9,4,4,46.15,25.71,40.0,33,78.79,7.44,5.33,-11.08
v1.3-threshold-1.5,confirm_divergence,48,19,5,14,4,4,38.46,40.0,40.0,29,72.41,5.28,3.23,-12.13
v1.3-threshold-1.5,launch_divergence,48,9,4,5,4,1,30.77,14.29,10.0,39,76.92,8.04,5.33,-11.03
v1.3-threshold-1.5,confirm_divergence_and_diff_gt_div_q50_73601340,48,9,4,5,3,2,30.77,14.29,20.0,39,76.92,7.51,5.33,-12.13
v1.3-threshold-1.5,launch_diff_gt_q50_319333120,48,8,3,5,3,2,23.08,14.29,20.0,40,75.0,7.44,5.31,-11.03
v1.3-threshold-1.5,both_launch_and_confirm_divergence,48,5,2,3,2,1,15.38,8.57,10.0,43,74.42,7.31,5.33,-12.13
v1.3-threshold-1.5,confirm_diff_gt_q75_158729482,48,7,2,5,1,3,15.38,14.29,30.0,41,73.17,6.32,5.29,-11.08
v1.3-threshold-1.5,launch_diff_gt_q90_811999747,48,1,1,0,1,0,7.69,0.0,0.0,47,74.47,7.6,5.33,-12.13
v1.3-threshold-1.5,launch_divergence_and_diff_gt_div_q75_811999747,48,1,1,0,1,0,7.69,0.0,0.0,47,74.47,7.6,5.33,-12.13
v1.3-threshold-1.5,launch_diff_gt_q75_566785189,48,4,1,3,1,1,7.69,8.57,10.0,44,72.73,6.95,5.31,-12.13
v1.3-threshold-1.5,launch_divergence_and_diff_gt_div_q50_506546758,48,4,1,3,1,1,7.69,8.57,10.0,44,72.73,6.95,5.31,-12.13
v1.3-threshold-1.5,confirm_divergence_and_diff_gt_div_q75_133051402,48,5,1,4,0,2,7.69,11.43,20.0,43,72.09,6.69,5.29,-12.13
v1.3-threshold-1.5,confirm_diff_gt_q90_479713817,48,3,0,3,0,2,0.0,8.57,20.0,45,71.11,6.15,5.29,-12.13
v1.4-balanced,any_launch_or_confirm_divergence,41,23,7,16,7,5,77.78,50.0,50.0,18,88.89,8.46,3.23,-5.61
v1.4-balanced,confirm_diff_gt_q50_78270564,41,15,6,9,7,4,66.67,28.12,40.0,26,88.46,9.44,7.91,-11.08
v1.4-balanced,confirm_divergence,41,19,5,14,5,5,55.56,43.75,50.0,22,81.82,6.96,3.23,-12.13
v1.4-balanced,launch_divergence,41,9,4,5,4,1,44.44,15.62,10.0,32,84.38,9.8,5.72,-11.03
v1.4-balanced,confirm_divergence_and_diff_gt_div_q50_73601340,41,9,4,5,4,2,44.44,15.62,20.0,32,84.38,9.15,5.72,-12.13
v1.4-balanced,launch_diff_gt_q50_319333120,41,8,3,5,3,2,33.33,15.62,20.0,33,81.82,9.03,5.72,-11.03
v1.4-balanced,both_launch_and_confirm_divergence,41,5,2,3,2,1,22.22,9.38,10.0,36,80.56,8.74,5.72,-12.13
v1.4-balanced,confirm_diff_gt_q75_158729482,41,7,2,5,2,3,22.22,15.62,30.0,34,79.41,7.63,5.5,-11.08
v1.4-balanced,launch_diff_gt_q90_811999747,41,1,1,0,1,0,11.11,0.0,0.0,40,80.0,8.93,5.73,-12.13
v1.4-balanced,launch_divergence_and_diff_gt_div_q75_811999747,41,1,1,0,1,0,11.11,0.0,0.0,40,80.0,8.93,5.73,-12.13
v1.4-balanced,launch_diff_gt_q75_566785189,41,4,1,3,1,1,11.11,9.38,10.0,37,78.38,8.27,5.72,-12.13
v1.4-balanced,launch_divergence_and_diff_gt_div_q50_506546758,41,4,1,3,1,1,11.11,9.38,10.0,37,78.38,8.27,5.72,-12.13
v1.4-balanced,confirm_divergence_and_diff_gt_div_q75_133051402,41,5,1,4,1,2,11.11,12.5,20.0,36,77.78,7.99,5.5,-12.13
v1.4-balanced,confirm_diff_gt_q90_479713817,41,3,0,3,0,2,0.0,9.38,20.0,38,76.32,7.28,5.5,-12.13
