trade_date,stock_count,market_l2_main_net_amount,market_l2_super_net_amount,main_positive_stock_ratio,super_positive_stock_ratio,main_q20_threshold,super_q20_threshold,main_net_outflow,super_net_outflow,main_outflow_2d,main_outflow_3d,super_outflow_2d,super_outflow_3d,main_below_q20,super_below_q20,main_and_super_outflow_2d,main_outflow_2d_or_below_q20
2026-03-02,3182,-59459119789.09,-29282841323.89,0.273099,0.287241,-56348383370.024,-26096028462.854,True,True,False,False,False,False,True,True,False,True
2026-03-03,3184,-135447392201.01,-74701628240.25,0.203204,0.231156,-56348383370.024,-26096028462.854,True,True,True,False,True,False,True,True,True,True
2026-03-04,3185,-42042725345.96,-20419534804.47,0.293564,0.282575,-56348383370.024,-26096028462.854,True,True,True,True,True,True,False,False,True,True
2026-03-05,3185,-1023020208.37,10335589982.8,0.413815,0.407849,-56348383370.024,-26096028462.854,True,False,True,True,False,False,False,False,False,True
2026-03-06,3185,-1940891462.37,9270189845.19,0.461852,0.431083,-74656774271.474,-38366598707.161995,True,False,True,True,False,False,False,False,False,True
2026-03-09,3188,-47176081075.36,-18049055070.59,0.278231,0.287955,-59459119789.09,-29282841323.89,True,True,True,True,False,False,False,False,False,True
2026-03-10,3186,-4214597277.78,4176377640.8,0.465788,0.42059,-57002512046.343994,-27510180020.005997,True,False,True,True,False,False,False,False,False,True
2026-03-11,3189,-21502887291.46,-3916929421.82,0.409219,0.38037,-54545904303.598,-25737518716.121998,True,True,True,True,False,False,False,False,False,True
2026-03-12,3189,-44069381413.45,-18963774207.74,0.345563,0.331138,-52089296560.852,-23964857412.238,True,True,True,True,True,False,False,False,True,True
2026-03-13,3188,-56456424034.12,-23272695812.49,0.34128,0.331242,-57056963185.114,-24474724914.77,True,True,True,True,True,True,False,False,True,True
2026-03-16,3188,-40522464053.02,-20334850692.54,0.353827,0.319009,-56456424034.12,-23272695812.49,True,True,True,True,True,True,False,False,True,True
2026-03-17,3189,-59321598199.75,-26914579188.19,0.302289,0.305111,-58748563366.624,-26186202513.05,True,True,True,True,True,True,True,True,True,True
2026-03-18,3189,-14237451995.49,228213611.67,0.350267,0.319849,-58175528533.498,-25457825837.91,True,False,True,True,False,False,False,False,False,True
2026-03-19,3188,-81288027302.67,-42497222964.11,0.231493,0.231807,-59376606835.486,-27861884042.469997,True,True,True,True,False,False,True,True,False,True
2026-03-20,3188,-55916220713.64,-26482762984.63,0.249373,0.278858,-59349102517.618,-27388231615.329998,True,True,True,True,True,False,False,False,True,True
2026-03-23,3189,-73716271987.03,-37597862903.76,0.207589,0.22264,-59459119789.09,-29282841323.89,True,True,True,True,True,True,True,True,True,True
2026-03-24,3189,9332900110.23,13179885587.93,0.428347,0.431483,-59431615471.222,-28809188896.75,False,False,False,False,False,False,False,False,False,False
2026-03-25,3188,10824568001.44,15834694092.56,0.481179,0.434128,-59404111153.354,-28335536469.609997,False,False,False,False,False,False,False,False,False,False
2026-03-26,3187,-66723880209.8,-32637207654.38,0.263571,0.259492,-62365023957.374,-30624587856.086,True,True,False,False,False,False,True,True,False,True
2026-03-27,3184,15652803402.35,15336634424.11,0.51853,0.433103,-60912071873.231995,-29953714589.988,False,False,False,False,False,False,False,False,False,False
2026-03-30,3181,-17211363571.62,-3689176735.8,0.381955,0.338887,-59459119789.09,-29282841323.89,True,True,False,False,False,False,False,False,False,False
2026-03-31,3181,-48489809608.33,-22058693062.57,0.292361,0.280101,-59431615471.222,-28809188896.75,True,True,True,False,True,False,False,False,True,True
2026-04-01,3182,11514255932.67,15791373401.35,0.515399,0.45066,-59404111153.354,-28335536469.609997,False,False,False,False,False,False,False,False,False,False
2026-04-02,3182,-53735526434.66,-24549090375.75,0.277498,0.260528,-59376606835.486,-27861884042.469997,True,True,False,False,False,False,False,False,False,False
2026-04-03,3183,-31462999184.55,-10520910428.54,0.307571,0.263588,-59349102517.618,-27388231615.329998,True,True,True,False,True,False,False,False,True,True
2026-04-07,3183,-7019612709.68,3085976860.87,0.404336,0.366321,-59321598199.75,-26914579188.19,True,False,True,True,False,False,False,False,False,True
2026-04-08,3187,63452171794.03,51566025948.42,0.652965,0.542516,-58748563366.624,-26828215947.478,False,False,False,False,False,False,False,False,False,False
2026-04-09,3188,-35409643418.84,-13978236631.28,0.29266,0.287327,-58175528533.498,-26741852706.766,True,True,False,False,False,False,False,False,False,False
2026-04-10,3189,-1213961265.3,10387386285.21,0.481342,0.434933,-57602493700.372,-26655489466.054,True,False,True,False,False,False,False,False,False,True
2026-04-13,3189,-13211718930.18,-4329982622.85,0.413923,0.35936,-57029458867.246,-26569126225.342,True,True,True,True,False,False,False,False,False,True
2026-04-14,3190,-17897507552.28,-3688948196.84,0.360188,0.323197,-56456424034.12,-26482762984.63,True,True,True,True,True,False,False,False,True,True
2026-04-15,3190,-44948593892.13,-20375429923.66,0.348276,0.342006,-56348383370.024,-26096028462.854,True,True,True,True,True,True,False,False,True,True
2026-04-17,3190,-32801475759.34,-13961366680.37,0.334169,0.330721,-56240342705.928,-25709293941.078,True,True,True,True,True,True,False,False,True,True
2026-04-20,3189,-1731384246.44,10842202905.32,0.402634,0.376921,-56132302041.832,-25322559419.302,True,False,True,True,False,False,False,False,False,True
2026-04-21,3189,-36721181278.49,-19615672574.05,0.364064,0.334901,-56024261377.736,-24935824897.525997,True,True,True,True,False,False,False,False,False,True
2026-04-23,3186,-67783159683.02,-35297665775.99,0.281544,0.307282,-56456424034.12,-26482762984.63,True,True,True,True,True,False,True,True,True,True
2026-04-24,3184,-32604735561.54,-13351762321.56,0.378141,0.339196,-56348383370.024,-26096028462.854,True,True,True,True,True,True,False,False,True,True
