rule,anchor,base_mature_trade_count,kept_mature_trade_count,skipped_mature_trade_count,skipped_trade_ratio,base_win_rate_pct,kept_win_rate_pct,skipped_win_rate_pct,base_avg_net_return_pct,kept_avg_net_return_pct,skipped_avg_net_return_pct,base_median_net_return_pct,kept_median_net_return_pct,skipped_median_net_return_pct,base_min_net_return_pct,kept_min_net_return_pct,skipped_min_net_return_pct,avg_return_delta_pct,median_return_delta_pct,win_rate_delta_pct
main_outflow_2d,discovery_date,41,10,31,0.7561,78.05,60.0,83.87,8.44,13.62,6.77,5.72,5.72,5.75,-12.13,-4.7,-12.13,5.18,0.0,-18.05
main_outflow_3d,discovery_date,41,10,31,0.7561,78.05,60.0,83.87,8.44,13.62,6.77,5.72,5.72,5.75,-12.13,-4.7,-12.13,5.18,0.0,-18.05
super_outflow_2d,discovery_date,41,23,18,0.439,78.05,78.26,77.78,8.44,10.11,6.32,5.72,7.44,4.26,-12.13,-12.13,-11.08,1.67,1.72,0.21
main_and_super_outflow_2d,discovery_date,41,23,18,0.439,78.05,78.26,77.78,8.44,10.11,6.32,5.72,7.44,4.26,-12.13,-12.13,-11.08,1.67,1.72,0.21
main_below_q20,prev_entry_signal_date,41,24,17,0.4146,78.05,75.0,82.35,8.44,9.99,6.26,5.72,5.72,5.75,-12.13,-12.13,-11.08,1.55,0.0,-3.05
super_below_q20,prev_entry_signal_date,41,24,17,0.4146,78.05,75.0,82.35,8.44,9.99,6.26,5.72,5.72,5.75,-12.13,-12.13,-11.08,1.55,0.0,-3.05
super_outflow_2d,prev_entry_signal_date,41,35,6,0.1463,78.05,80.0,66.67,8.44,9.97,-0.46,5.72,8.21,4.46,-12.13,-11.08,-12.13,1.53,2.49,1.95
main_and_super_outflow_2d,prev_entry_signal_date,41,35,6,0.1463,78.05,80.0,66.67,8.44,9.97,-0.46,5.72,8.21,4.46,-12.13,-11.08,-12.13,1.53,2.49,1.95
super_outflow_2d,entry_signal_date,41,38,3,0.0732,78.05,84.21,0.0,8.44,9.81,-8.85,5.72,6.6,-11.08,-12.13,-11.03,-12.13,1.37,0.88,6.16
main_and_super_outflow_2d,entry_signal_date,41,38,3,0.0732,78.05,84.21,0.0,8.44,9.81,-8.85,5.72,6.6,-11.08,-12.13,-11.03,-12.13,1.37,0.88,6.16
super_outflow_3d,prev_entry_signal_date,41,37,4,0.0976,78.05,81.08,50.0,8.44,9.74,-3.55,5.72,7.44,-3.91,-12.13,-11.08,-12.13,1.3,1.72,3.03
super_outflow_3d,discovery_date,41,30,11,0.2683,78.05,80.0,72.73,8.44,9.45,5.7,5.72,7.83,1.8,-12.13,-12.13,-11.03,1.01,2.11,1.95
main_outflow_2d_or_below_q20,entry_signal_date,41,24,17,0.4146,78.05,79.17,76.47,8.44,9.43,7.05,5.72,6.58,3.2,-12.13,-5.61,-12.13,0.99,0.86,1.12
main_outflow_2d,entry_signal_date,41,34,7,0.1707,78.05,85.29,42.86,8.44,9.19,4.81,5.72,7.83,-3.34,-12.13,-5.61,-12.13,0.75,2.11,7.24
super_outflow_3d,entry_signal_date,41,40,1,0.0244,78.05,80.0,0.0,8.44,8.96,-12.13,5.72,5.73,-12.13,-12.13,-11.08,-12.13,0.52,0.01,1.95
main_outflow_3d,entry_signal_date,41,35,6,0.1463,78.05,82.86,50.0,8.44,8.83,6.17,5.72,7.44,-3.91,-12.13,-5.61,-12.13,0.39,1.72,4.81
main_below_q20,entry_signal_date,41,31,10,0.2439,78.05,70.97,100.0,8.44,8.39,8.62,5.72,5.72,9.16,-12.13,-12.13,0.79,-0.05,0.0,-7.08
super_below_q20,entry_signal_date,41,31,10,0.2439,78.05,70.97,100.0,8.44,8.39,8.62,5.72,5.72,9.16,-12.13,-12.13,0.79,-0.05,0.0,-7.08
main_outflow_2d,prev_entry_signal_date,41,29,12,0.2927,78.05,82.76,66.67,8.44,7.33,11.12,5.72,7.44,5.72,-12.13,-5.61,-12.13,-1.11,1.72,4.71
main_outflow_3d,prev_entry_signal_date,41,31,10,0.2439,78.05,83.87,60.0,8.44,7.23,12.2,5.72,5.72,4.47,-12.13,-5.61,-12.13,-1.21,0.0,5.82
main_outflow_2d_or_below_q20,prev_entry_signal_date,41,16,25,0.6098,78.05,75.0,80.0,8.44,5.82,10.12,5.72,2.69,5.75,-12.13,-4.7,-12.13,-2.62,-3.03,-3.05
main_below_q20,discovery_date,41,24,17,0.4146,78.05,66.67,94.12,8.44,3.57,15.33,5.72,4.47,10.1,-12.13,-12.13,-3.34,-4.87,-1.25,-11.38
super_below_q20,discovery_date,41,24,17,0.4146,78.05,66.67,94.12,8.44,3.57,15.33,5.72,4.47,10.1,-12.13,-12.13,-3.34,-4.87,-1.25,-11.38
main_outflow_2d_or_below_q20,discovery_date,41,6,35,0.8537,78.05,33.33,85.71,8.44,-0.31,9.94,5.72,-1.94,8.21,-12.13,-4.7,-12.13,-8.75,-7.66,-44.72
