rule,count,win_rate,avg_return,median_return,max_return,min_return,score
hold_return_pct >= 0.155,41,95.12,11.91,8.02,59.71,-2.41,18.0116
hold_super_price_divergence <= -0.00706,41,85.37,10.43,8.02,59.71,-11.28,16.935599999999997
hold_main_price_divergence <= -0.03802,41,75.61,9.26,8.02,59.71,-14.24,15.9208
holding_days >= 6.5,41,85.37,10.32,6.0,59.71,-11.36,14.8936
hold_days >= 6.5,41,85.37,10.32,6.0,59.71,-11.36,14.8936
hold_return_pct >= -3.7845,53,81.13,8.77,6.0,59.71,-8.81,14.2444
hold_positive_l2_bar_ratio_avg >= 0.44355,41,75.61,9.69,6.0,59.71,-11.9,13.9868
hold_main_net_ratio >= -0.019655,41,78.05,8.52,6.0,59.71,-11.9,13.948
hold_cum_main_ratio_last >= -0.019655,41,78.05,8.52,6.0,59.71,-11.9,13.948
hold_super_net_ratio >= -0.009195,41,78.05,8.17,6.0,59.71,-14.52,13.878
hold_cum_super_ratio_last >= -0.009195,41,78.05,8.17,6.0,59.71,-14.52,13.878
hold_active_buy_strength_avg >= -2.4507,41,75.61,9.1,6.0,59.71,-11.9,13.8688
hold_main_positive_day_ratio >= 0.4202,41,75.61,7.34,6.0,45.49,-11.9,13.5168
hold_negative_main_day_ratio <= 0.5798,41,75.61,7.34,6.0,45.49,-11.9,13.5168
hold_super_price_divergence <= 0.012304,53,79.25,8.43,3.96,59.71,-11.28,11.986
hold_sell_pressure_avg <= 1.39255,41,65.85,6.45,3.96,59.71,-14.52,10.518
hold_add_sell_ratio <= 1.37285,41,65.85,6.12,3.96,59.71,-14.52,10.452
hold_super_net_ratio >= -0.0178205,53,73.58,6.52,3.21,59.71,-14.52,10.4004
hold_cum_super_ratio_last >= -0.0178205,53,73.58,6.52,3.21,59.71,-14.52,10.4004
launch3_main_net_ratio <= 0.05008,41,70.73,7.07,3.22,45.49,-11.36,10.2924
hold_amount_sum >= 7.81321e+09,41,70.73,6.76,3.21,59.71,-18.38,10.220400000000001
launch_to_entry_main_net_ratio <= 0.032545,41,70.73,6.08,3.16,45.49,-11.36,10.034400000000002
hold_super_positive_day_ratio >= 0.4,50,68.0,6.78,3.21,59.71,-11.9,10.006
hold_negative_super_day_ratio <= 0.6,50,68.0,6.78,3.21,59.71,-11.9,10.006
hold_main_positive_day_ratio >= 0.356645,53,67.92,6.48,3.21,59.71,-11.9,9.939599999999999
hold_negative_main_day_ratio <= 0.643355,53,67.92,6.48,3.21,59.71,-11.9,9.939599999999999
hold_main_price_divergence <= -0.00197,54,68.52,6.14,3.12,59.71,-18.38,9.8296
hold_active_buy_strength_avg >= -3.18824,53,66.04,6.41,3.22,59.71,-14.52,9.785200000000001
hold_super_positive_day_ratio >= 0.343905,53,66.04,6.43,3.21,59.71,-11.9,9.779200000000001
hold_negative_super_day_ratio <= 0.656095,53,66.04,6.43,3.21,59.71,-11.9,9.779200000000001
holding_days >= 5,54,66.67,6.01,3.21,59.71,-14.52,9.745600000000001
hold_days >= 5,54,66.67,6.01,3.21,59.71,-14.52,9.745600000000001
hold_positive_l2_bar_ratio_avg >= 0.4204,54,66.67,5.97,3.21,59.71,-14.52,9.7376
hold_max_daily_main_outflow_ratio >= -0.12024,43,65.12,5.79,3.22,59.71,-11.9,9.5876
hold_return_pct >= -6.96,65,66.15,5.9,3.07,59.71,-14.24,9.542
hold_main_net_ratio >= -0.038539,53,66.04,5.12,3.21,59.71,-14.52,9.517200000000003
hold_cum_main_ratio_last >= -0.038539,53,66.04,5.12,3.21,59.71,-14.52,9.517200000000003
