feature,corr_return,win_mean,loss_mean,win_loss_diff,big_mean,bad_mean,big_bad_diff
hold_return_pct,0.9599,10.155581,-5.578462,15.734043,19.927368,-7.872273,27.799641
hold_super_price_divergence,-0.8744,-0.097585,0.026851,-0.124436,-0.192208,0.043596,-0.235804
hold_main_price_divergence,-0.7992,-0.103574,0.002645,-0.106219,-0.195396,0.012197,-0.207594
hold_positive_l2_bar_ratio_avg,0.5889,0.484667,0.37539,0.109278,0.508805,0.356518,0.152287
hold_active_buy_strength_avg,0.5876,-0.228053,-5.875097,5.647044,0.981768,-6.901,7.882768
hold_order_event_count_sum,0.583,1657773.27907,680739.769231,977033.509839,2543963.263158,870857.954545,1673105.308612
hold_amount_sum,0.5759,20293160526.564423,7493245576.794615,12799914949.769808,32841279984.206844,9449295311.524546,23391984672.682297
hold_days,0.5542,10.162791,4.948718,5.214073,12.421053,4.818182,7.602871
holding_days,0.5542,10.162791,4.948718,5.214073,12.421053,4.818182,7.602871
hold_cum_super_ratio_max_drawdown,-0.5415,-0.052837,-0.028717,-0.02412,-0.070204,-0.02741,-0.042794
hold_super_positive_day_ratio,0.537,0.482577,0.282123,0.200454,0.549547,0.2711,0.278447
hold_negative_super_day_ratio,-0.537,0.517423,0.717877,-0.200454,0.450453,0.7289,-0.278447
hold_cum_main_ratio_max_drawdown,-0.5071,-0.070773,-0.054568,-0.016206,-0.093454,-0.056634,-0.03682
hold_super_net_ratio,0.4981,0.003971,-0.028933,0.032904,0.007066,-0.035127,0.042193
hold_cum_super_ratio_last,0.4981,0.003971,-0.028933,0.032904,0.007066,-0.035127,0.042193
hold_cum_main_ratio_last,0.4669,-0.002018,-0.05314,0.051121,0.003877,-0.066525,0.070403
hold_main_net_ratio,0.4669,-0.002018,-0.05314,0.051121,0.003877,-0.066525,0.070403
hold_negative_main_day_ratio,-0.4617,0.479516,0.738003,-0.258486,0.452342,0.756395,-0.304053
hold_main_positive_day_ratio,0.4617,0.520484,0.261997,0.258486,0.547658,0.243605,0.304053
hold_support_spread_avg,0.4096,0.011821,-0.027205,0.039026,0.051324,-0.006215,0.05754
launch3_main_net_ratio,-0.371,0.045803,0.081264,-0.035461,0.036052,0.103494,-0.067443
hold_cum_super_ratio_min,0.3658,-0.02109,-0.040443,0.019353,-0.021408,-0.05088,0.029472
hold_cum_main_ratio_min,0.3203,-0.032727,-0.0619,0.029173,-0.025866,-0.076031,0.050165
hold_amount_anomaly_avg,0.2748,1.169784,1.111587,0.058197,1.374826,1.212382,0.162444
hold_oib_ratio,0.2699,0.001802,-0.020508,0.02231,0.029745,0.006421,0.023324
hold_max_daily_main_outflow_ratio,0.2573,-0.113871,-0.13158,0.017709,-0.102942,-0.139629,0.036687
pull_to_entry_max_daily_super_outflow_ratio,0.2529,0.055023,0.039507,0.015515,0.103755,0.056364,0.047391
pull_to_entry_super_net_ratio,0.2529,0.055023,0.039507,0.015515,0.103755,0.056364,0.047391
pull_to_entry_super_price_divergence,0.2529,0.055023,0.039507,0.015515,0.103755,0.056364,0.047391
discover_to_entry_active_buy_strength_avg,-0.2495,0.954693,3.757687,-2.802994,1.073668,5.2643,-4.190632
hold_amount_avg,0.2287,1935044278.639535,1742024688.760256,193019589.879279,2820769148.503684,2061297381.833636,759471766.670047
launch_to_entry_positive_l2_bar_ratio_avg,-0.2274,0.525709,0.589195,-0.063486,0.532911,0.621841,-0.08893
launch3_super_net_ratio,-0.2237,0.034131,0.064502,-0.030371,0.032226,0.083175,-0.05095
launch_to_entry_active_buy_strength_avg,-0.2204,2.286512,4.973651,-2.68714,2.558526,6.669177,-4.110651
duplicate_symbol_count_in_v1,-0.2128,2.046512,2.25641,-0.209899,1.894737,3.0,-1.105263
hold_add_sell_ratio,-0.2095,1.18526,1.298263,-0.113003,1.135357,1.330587,-0.19523
launch_to_entry_main_positive_day_ratio,-0.2085,0.569342,0.651085,-0.081743,0.549853,0.66455,-0.114697
hold_max_daily_super_outflow_ratio,0.2082,-0.070488,-0.079393,0.008905,-0.062934,-0.082329,0.019395
discover_to_entry_positive_l2_bar_ratio_avg,-0.2018,0.503635,0.561179,-0.057545,0.511753,0.589786,-0.078034
discover_to_entry_max_drawdown_pct,-0.1925,-7.988372,-5.074359,-2.914013,-7.632105,-5.16,-2.472105
discover_to_entry_main_positive_day_ratio,-0.1855,0.52954,0.609238,-0.079699,0.494937,0.616773,-0.121836
launch_to_entry_amount_anomaly_avg,-0.1784,0.963381,1.227472,-0.26409,0.979832,1.309159,-0.329328
pull_to_entry_main_net_ratio,0.1772,0.07375,0.056821,0.016929,0.107242,0.072777,0.034464
pull_to_entry_main_price_divergence,0.1772,0.07375,0.056821,0.016929,0.107242,0.072777,0.034464
pull_to_entry_active_buy_strength_avg,0.1772,7.375074,5.682054,1.693021,10.724326,7.277609,3.446717
pull_to_entry_max_daily_main_outflow_ratio,0.1772,0.07375,0.056821,0.016929,0.107242,0.072777,0.034464
pull_to_entry_amount_anomaly_avg,-0.1748,0.996777,1.293626,-0.296849,0.995768,1.403705,-0.407936
pull_to_entry_positive_l2_bar_ratio_avg,0.1696,0.653814,0.608733,0.045081,0.703326,0.625195,0.078131
hold_cvd_ratio,0.1686,-0.022603,-0.051608,0.029005,-0.034405,-0.061605,0.0272
discover_to_entry_amount_anomaly_avg,-0.1667,0.951749,1.169569,-0.21782,0.947884,1.226005,-0.27812
pull_to_entry_order_event_count_sum,-0.1667,140998.302326,177536.666667,-36538.364341,158281.315789,203151.636364,-44870.320574
launch_to_entry_cancel_sell_ratio,0.1646,0.18907,0.127173,0.061897,0.195207,0.089539,0.105668
discover_to_entry_cvd_ratio,-0.1578,-0.026993,-0.008643,-0.018351,-0.022854,-0.004519,-0.018335
launch3_return_pct,-0.1575,7.371628,8.151795,-0.780167,6.872632,9.005,-2.132368
hold_cancel_buy_ratio,0.1546,0.214363,0.130176,0.084187,0.190175,0.085644,0.104531
launch_to_entry_main_net_ratio,-0.1507,0.026989,0.053964,-0.026975,0.028615,0.066042,-0.037427
pull_to_entry_cancel_buy_ratio,0.1468,0.285945,0.132561,0.153384,0.288713,0.090153,0.19856
discover_to_entry_cancel_sell_ratio,0.1448,0.18698,0.128147,0.058833,0.187462,0.089975,0.097487
pull_to_entry_cancel_sell_ratio,0.1434,0.193174,0.138551,0.054623,0.199357,0.097008,0.102349
hold_sell_pressure_avg,-0.1405,1.001079,1.157877,-0.156798,0.973762,1.242999,-0.269237
launch_to_entry_main_price_divergence,-0.1373,-0.039962,-0.030036,-0.009926,-0.050269,-0.02524,-0.025029
discover_to_entry_main_net_ratio,-0.137,0.013569,0.041232,-0.027663,0.016942,0.052102,-0.03516
pull_to_entry_super_positive_day_ratio,0.1338,0.744186,0.666667,0.077519,0.842105,0.636364,0.205742
discover_to_entry_days,0.1295,8.55814,6.974359,1.583781,8.631579,6.954545,1.677033
pullback_super_net_ratio,0.1284,0.025233,0.033625,-0.008392,0.051969,0.047486,0.004483
pre5_return_pct,-0.1257,-10.385581,-10.765897,0.380316,-11.916316,-8.64,-3.276316
pull_to_entry_sell_pressure_avg,-0.1247,0.990794,1.117029,-0.126235,0.957335,1.189622,-0.232287
launch_to_entry_oib_ratio,0.1205,0.03475,0.086406,-0.051655,0.101465,0.120519,-0.019054
discover_to_entry_super_price_divergence,0.119,-0.002806,-0.035196,0.032391,-0.013177,-0.038466,0.025289
pull_to_entry_support_spread_avg,0.1184,0.108888,0.163692,-0.054804,0.241841,0.285129,-0.043288
pull_to_entry_oib_ratio,0.1184,0.108888,0.163692,-0.054804,0.241841,0.285129,-0.043288
discover_to_entry_max_daily_super_outflow_ratio,-0.1147,-0.076342,-0.056776,-0.019566,-0.072249,-0.062975,-0.009273
setup_score,0.1117,89.346279,88.948718,0.397561,90.456316,88.091818,2.364498
discover_to_entry_return_pct,-0.1113,1.617209,6.748718,-5.131509,3.649474,7.863636,-4.214163
pull_to_entry_amount_avg,-0.1061,1605631973.055814,2054863144.559231,-449231171.503417,2003110373.72579,2332193174.901819,-329082801.176029
pull_to_entry_amount_sum,-0.1061,1605631973.055814,2054863144.559231,-449231171.503417,2003110373.72579,2332193174.901819,-329082801.176029
launch_to_entry_cancel_buy_ratio,0.1051,0.227333,0.155021,0.072313,0.212433,0.097346,0.115087
launch3_add_buy_ratio,-0.0994,1.280891,1.415766,-0.134875,1.249429,1.478079,-0.22865
launch3_max_drawdown_pct,0.0991,-0.095814,-0.581795,0.485981,-0.116842,-0.277273,0.160431
discover_to_entry_cancel_buy_ratio,0.0964,0.228912,0.153455,0.075456,0.199149,0.097947,0.101202
pre20_super_price_divergence,0.0951,0.178138,0.183313,-0.005175,0.193871,0.177059,0.016812
discover_to_entry_oib_ratio,0.0933,0.033358,0.074413,-0.041056,0.093767,0.110916,-0.017149
launch_to_entry_amount_avg,-0.0914,1497608459.702326,1845280004.359743,-347671544.657418,1912010261.817895,2086758404.994091,-174748143.176196
pull_to_entry_add_sell_ratio,-0.0887,1.183968,1.255579,-0.071611,1.156695,1.28663,-0.129935
discover_to_entry_buy_support_avg,-0.0885,1.030278,1.205432,-0.175154,1.067774,1.337717,-0.269944
discover_to_entry_amount_avg,-0.0864,1503515545.56093,1783723785.173333,-280208239.612403,1885991733.572631,1986423222.109091,-100431488.536459
discover_to_entry_support_spread_avg,-0.0827,0.024224,0.085005,-0.060781,0.072337,0.134937,-0.0626
pull_to_entry_add_buy_ratio,0.0826,1.385627,1.413284,-0.027657,1.487888,1.564907,-0.077018
pull_to_entry_cvd_ratio,-0.0809,-0.01239,-0.009644,-0.002746,-0.01262,-0.017059,0.004439
pre5_super_price_divergence,0.0806,0.087775,0.094127,-0.006352,0.096574,0.094492,0.002082
discover_to_entry_max_daily_main_outflow_ratio,-0.0793,-0.10285,-0.086352,-0.016497,-0.107915,-0.087196,-0.020718
discover_to_entry_super_positive_day_ratio,-0.0746,0.520716,0.606503,-0.085786,0.571937,0.6066,-0.034663
confirm_distribution_score,-0.0729,35.571628,36.2,-0.628372,33.16,33.705909,-0.545909
pullback_depth_from_launch_peak_pct,0.072,-7.105814,-6.479487,-0.626327,-6.614211,-7.103182,0.488971
discover_to_entry_sell_pressure_avg,-0.0677,1.006052,1.120426,-0.114374,0.995435,1.202779,-0.207343
hold_big_super_outflow_days,0.0667,1.674419,1.384615,0.289803,1.526316,1.363636,0.162679
pre20_main_price_divergence,0.0664,0.16166,0.168589,-0.006929,0.173716,0.156449,0.017267
launch_to_entry_buy_support_avg,-0.0663,1.037932,1.212801,-0.174869,1.081324,1.341191,-0.259867
launch_to_entry_sell_pressure_avg,-0.0651,1.011049,1.115777,-0.104728,0.999185,1.199122,-0.199937
hold_buy_support_avg,-0.0601,1.012901,1.130672,-0.117771,1.025085,1.236782,-0.211697
pullback_support_spread_avg,0.0525,0.066949,0.133609,-0.066661,0.136868,0.23657,-0.099702
launch_to_entry_max_daily_super_outflow_ratio,0.0504,-0.051904,-0.051146,-0.000758,-0.051477,-0.060383,0.008905
discover_to_entry_main_price_divergence,0.05,-0.002603,-0.026255,0.023652,-0.019553,-0.026534,0.006981
pre20_return_pct,-0.0451,-18.423256,-19.807949,1.384693,-20.402632,-18.469091,-1.933541
launch_to_entry_days,0.0438,5.976744,5.230769,0.745975,6.052632,5.272727,0.779904
launch_to_entry_add_buy_ratio,0.0425,1.26566,1.350725,-0.085065,1.303236,1.41171,-0.108474
launch_to_entry_cvd_ratio,-0.0417,-0.010292,-0.002098,-0.008194,-0.005622,0.003667,-0.009289
launch_to_entry_super_net_ratio,0.0391,0.021757,0.038256,-0.016499,0.03432,0.047108,-0.012788
pull_to_entry_main_positive_day_ratio,0.0328,0.790698,0.74359,0.047108,0.894737,0.772727,0.12201
discover_to_entry_super_net_ratio,-0.0305,0.013366,0.032291,-0.018924,0.023317,0.04017,-0.016853
pullback_main_net_ratio,0.0284,0.036848,0.046707,-0.00986,0.048561,0.060261,-0.011701
discover_to_entry_add_sell_ratio,-0.026,1.185079,1.241336,-0.056257,1.172771,1.286853,-0.114082
launch_to_entry_support_spread_avg,-0.0257,0.026883,0.097023,-0.07014,0.082141,0.142068,-0.059927
hold_max_drawdown_pct,0.0248,-5.493023,-6.858205,1.365182,-5.578421,-8.449545,2.871124
hold_cancel_sell_ratio,0.0236,0.187258,0.145337,0.041921,0.160203,0.095314,0.064889
discover_to_entry_order_event_count_sum,0.0208,1240592.023256,1097466.025641,143125.997615,1483604.842105,1217513.318182,266091.523923
launch_to_entry_return_pct,0.0201,6.695116,8.4,-1.704884,7.888421,9.128182,-1.239761
launch_to_entry_max_daily_main_outflow_ratio,0.0197,-0.075513,-0.070413,-0.0051,-0.084131,-0.076141,-0.00799
launch_to_entry_super_positive_day_ratio,-0.0196,0.594742,0.624554,-0.029812,0.609189,0.622064,-0.012874
launch_to_entry_max_drawdown_pct,0.0188,-4.433256,-3.652051,-0.781205,-4.469474,-4.097273,-0.372201
rank,-0.0183,5.604651,4.717949,0.886702,5.368421,5.045455,0.322967
launch_to_entry_amount_sum,-0.0179,9319571249.635582,9485829831.597181,-166258581.961599,11787909840.882633,10680774637.839088,1107135203.043545
discover_to_entry_amount_sum,0.0105,12975740203.88558,11894274855.250002,1081465348.635578,16063949031.15,13061140108.664091,3002808922.485909
launch_to_entry_super_price_divergence,0.0093,-0.045194,-0.045744,0.000549,-0.044564,-0.044174,-0.00039
launch_to_entry_order_event_count_sum,-0.0087,880468.302326,849604.794872,30863.507454,1072724.157895,965069.909091,107654.248804
discover_to_entry_add_buy_ratio,0.007,1.260368,1.341057,-0.080688,1.278225,1.405741,-0.127516
launch_to_entry_add_sell_ratio,-0.0054,1.192645,1.23647,-0.043825,1.184542,1.283382,-0.09884
pull_to_entry_buy_support_avg,-0.0048,1.099684,1.280723,-0.181039,1.199178,1.474752,-0.275573
hold_add_buy_ratio,-0.0043,1.214167,1.262594,-0.048427,1.195074,1.327337,-0.132263
launch_to_entry_order_available_ratio,0.0,1.0,1.0,0.0,1.0,1.0,0.0
pull_to_entry_order_available_ratio,0.0,1.0,1.0,0.0,1.0,1.0,0.0
pull_to_entry_max_drawdown_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pull_to_entry_days,0.0,1.0,1.0,0.0,1.0,1.0,0.0
pull_to_entry_return_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discover_to_entry_order_available_ratio,0.0,1.0,1.0,0.0,1.0,1.0,0.0
hold_order_available_ratio,0.0,1.0,1.0,0.0,1.0,1.0,0.0
