discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,overheat_return_pct,overheat_active_buy_strength,overheat_amount_anomaly,overheat_main_net_ratio,overheat_super_net_ratio,entry_overheated
2026-03-02,sz002558,1,97.6,-19.71,0.18799,0.16851,-11.46,0.10454,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,-2.81,3.0866,0.9732,0.03969,0.0101,False
2026-03-02,sz002345,2,89.26,-20.14,0.20629,0.21572,-15.25,0.13995,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-02,sz002865,3,88.01,-13.46,0.13437,0.11866,-3.69,0.08566,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,-5.15,-0.8314,0.7888,-0.00026,-0.00381,False
2026-03-02,sz002517,4,85.91,-8.1,0.08992,0.08552,-12.67,0.14669,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-02,sz002759,5,85.66,-13.18,0.14817,0.1308,-13.51,0.14537,2026-03-09,2026-03-11,2026-03-13,pullback_absorption_confirm,8.02,0.0,0.0105,0.05434,1.40279,0.01403,0.01224,-0.17342,-5.74,38.0,-0.24,-4.1073,0.7472,-0.01862,-0.01188,False
2026-03-02,sh601888,6,84.52,-13.11,0.11311,0.10299,-17.0,0.10145,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-02,sh600370,7,83.89,-14.23,0.16965,0.12653,-16.73,0.23656,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,4.09,-0.87,0.01041,0.02154,1.17565,0.01238,-0.03486,0.21601,-8.61,56.92,-3.02,1.9753,0.7319,0.05165,0.00441,False
2026-03-02,sh600977,8,80.15,-13.3,0.11083,0.09162,-20.79,0.11939,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-02,sz002326,9,79.4,-9.4,0.09074,0.08799,-14.29,0.14882,2026-03-09,2026-03-11,2026-03-25,pullback_absorption_confirm,4.46,0.0,0.00207,0.02791,1.4102,-0.04771,-0.05288,0.03006,-14.0,22.0,-8.72,-3.1254,0.6901,-0.03145,-0.0291,False
2026-03-02,sz001330,10,78.19,-7.07,0.0721,0.03458,-32.31,0.3325,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sh603778,1,88.24,-16.32,0.1415,0.10104,-6.0,0.04858,2026-03-04,2026-03-06,,no_pullback_confirm,8.15,-1.71,0.05045,0.01328,1.15163,,,,,,,,,,,
2026-03-03,sz002558,2,84.61,-21.89,0.2153,0.19874,-5.76,0.04074,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,-0.19,3.1648,0.9821,0.0415,0.01004,False
2026-03-03,sh601601,3,83.49,-9.48,0.09552,0.09795,-5.95,0.05908,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sz001330,4,77.23,-10.12,0.10389,0.0638,-25.76,0.24232,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sz002517,5,76.2,-10.52,0.11697,0.11065,-3.81,0.03185,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sh600977,6,73.94,-16.82,0.14539,0.12489,-14.43,0.07916,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sh601628,7,73.7,-10.05,0.08518,0.09371,-6.08,0.03109,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sz002345,8,71.95,-18.67,0.19081,0.19653,-8.57,0.08038,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sh603212,9,69.33,-15.28,0.15539,0.12237,-8.87,0.07179,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-03,sh601888,10,68.99,-13.99,0.12085,0.10919,-8.31,-0.01885,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-04,sz002371,1,91.27,-11.12,0.09523,0.09995,-10.05,0.06927,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-04,sz002064,2,91.11,-15.33,0.15255,0.15861,-7.61,0.09731,2026-03-09,2026-03-11,,no_pullback_confirm,4.72,0.0,0.00956,0.01755,1.33892,,,,,,,,,,,
2026-03-04,sz002738,3,90.43,-14.09,0.12206,0.0992,-11.7,0.09805,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-04,sz001309,4,88.85,-17.8,0.15887,0.16636,-8.79,0.02694,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,7.77,0.0,0.09847,0.06049,1.90137,0.08069,0.1008,0.10696,-5.15,13.26,11.3,7.1571,1.9788,0.0708,0.09392,False
2026-03-04,sz002400,5,88.75,-20.88,0.20811,0.1848,-12.32,0.06294,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-04,sz002865,6,88.04,-15.89,0.16334,0.14496,-3.66,0.06184,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,2.48,0.3099,0.7678,0.01761,0.01136,False
2026-03-04,sh601615,7,87.18,-20.86,0.19329,0.1632,-11.15,0.09287,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,11.38,4.8031,0.6195,0.05426,0.03179,False
2026-03-04,sz002558,8,85.95,-19.66,0.19376,0.18007,-6.86,0.05781,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,0.9,3.0753,0.98,0.04204,0.00929,False
2026-03-04,sh600460,9,85.85,-15.5,0.14278,0.12944,-11.57,0.06882,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-04,sz002654,10,85.01,-14.34,0.1223,0.11205,-13.79,0.08652,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,9.82,0.0,0.03419,0.04805,1.44689,-0.04653,-0.08389,0.09127,-7.84,55.47,9.6,-0.1261,1.0809,0.01593,0.01454,False
2026-03-05,sh601615,1,97.17,-16.79,0.14875,0.12141,-13.81,0.12665,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,9.6,6.6717,0.6423,0.0727,0.03787,False
2026-03-05,sh600602,2,91.75,-11.37,0.10771,0.09775,-7.81,0.12678,2026-03-05,2026-03-09,2026-03-18,pullback_absorption_confirm,12.42,0.0,0.17624,0.14632,2.0526,0.08382,0.10191,-0.01404,-10.06,52.0,14.19,1.8667,1.4018,0.01836,0.03482,False
2026-03-05,sh600460,3,90.43,-15.26,0.12735,0.10989,-12.66,0.06846,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-05,sz002517,4,89.9,-16.57,0.17703,0.1676,-6.93,0.07253,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-05,sz002943,5,89.6,-22.37,0.2219,0.20596,-12.72,0.08713,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-05,sh600481,6,88.97,-18.14,0.17735,0.15081,-12.87,0.17484,2026-03-06,2026-03-10,2026-03-23,pullback_absorption_confirm,4.05,0.0,-0.00185,0.01005,0.86298,0.04471,0.08925,-0.07614,-16.27,52.0,-6.14,-3.4299,0.6156,-0.0152,-0.00719,False
2026-03-05,sz002400,7,88.65,-24.56,0.22377,0.19796,-10.05,0.05759,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-05,sz002131,8,88.34,-13.06,0.12173,0.09186,-10.92,0.08708,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-05,sh600703,9,88.2,-9.9,0.08932,0.07778,-9.39,0.09103,2026-03-10,2026-03-12,,no_pullback_confirm,16.33,0.0,0.10545,0.1078,1.16219,,,,,,,,,,,
2026-03-05,sz002115,10,87.95,-14.46,0.12228,0.09669,-10.05,0.06541,,,,no_launch,,,,,,,,,,,,,,,,
2026-03-06,sz002165,1,92.48,-13.08,0.13368,0.10041,-13.35,0.1167,2026-03-11,2026-03-13,2026-03-17,pullback_absorption_confirm,6.96,-2.77,0.15161,0.15958,1.60949,0.02484,0.04379,-0.09789,-6.74,37.66,4.75,7.4587,1.0737,0.05247,0.0682,False
