discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,overheat_return_pct,overheat_active_buy_strength,overheat_amount_anomaly,overheat_main_net_ratio,overheat_super_net_ratio,entry_overheated,entry_signal_date,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_ratio,final_cum_main_ratio,final_super_pos_day_ratio,final_main_pos_day_ratio
2026-03-02,sz002558,1,97.6,-19.71,0.18799,0.16851,-11.46,0.10454,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,-2.81,3.0866,0.9732,0.03969,0.0101,False,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,flow_confirmed_stop,-0.0183,-0.02858,0.4,0.4
2026-03-02,sz002865,3,88.01,-13.46,0.13437,0.11866,-3.69,0.08566,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,-5.15,-0.8314,0.7888,-0.00026,-0.00381,False,2026-03-18,2026-03-19,83.51,83.7188,2026-03-24,2026-03-25,77.45,77.2564,-7.26,-7.72,9.22,-13.35,4,cum_flow_exit,-0.00145,-0.03,0.25,0.25
2026-03-02,sz002759,5,85.66,-13.18,0.14817,0.1308,-13.51,0.14537,2026-03-09,2026-03-11,2026-03-13,pullback_absorption_confirm,8.02,0.0,0.0105,0.05434,1.40279,0.01403,0.01224,-0.17342,-5.74,38.0,-0.24,-4.1073,0.7472,-0.01862,-0.01188,False,2026-03-13,2026-03-16,36.63,36.7216,2026-03-19,2026-03-20,33.0,32.9175,-9.91,-10.36,5.98,-11.49,4,flow_confirmed_stop,-0.0314,-0.0666,0.25,0.25
2026-03-02,sh600370,7,83.89,-14.23,0.16965,0.12653,-16.73,0.23656,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,4.09,-0.87,0.01041,0.02154,1.17565,0.01238,-0.03486,0.21601,-8.61,56.92,-3.02,1.9753,0.7319,0.05165,0.00441,False,2026-03-10,2026-03-11,2.25,2.2556,2026-04-24,2026-04-24,2.64,2.6334,17.33,16.75,71.56,-2.67,30,window_end,-0.00565,-0.03031,0.4667,0.3667
2026-03-02,sz002326,9,79.4,-9.4,0.09074,0.08799,-14.29,0.14882,2026-03-09,2026-03-11,2026-03-25,pullback_absorption_confirm,4.46,0.0,0.00207,0.02791,1.4102,-0.04771,-0.05288,0.03006,-14.0,22.0,-8.72,-3.1254,0.6901,-0.03145,-0.0291,False,2026-03-25,2026-03-26,22.1,22.1552,2026-04-07,2026-04-08,22.65,22.5934,2.49,1.98,8.01,-1.0,8,cum_flow_exit,-0.01464,-0.01578,0.25,0.25
2026-03-03,sz002558,2,84.61,-21.89,0.2153,0.19874,-5.76,0.04074,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,-0.19,3.1648,0.9821,0.0415,0.01004,False,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,flow_confirmed_stop,-0.0183,-0.02858,0.4,0.4
2026-03-04,sz001309,4,88.85,-17.8,0.15887,0.16636,-8.79,0.02694,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,7.77,0.0,0.09847,0.06049,1.90137,0.08069,0.1008,0.10696,-5.15,13.26,11.3,7.1571,1.9788,0.0708,0.09392,False,2026-03-09,2026-03-10,288.0,288.72,2026-04-24,2026-04-24,489.88,488.6553,70.1,69.25,89.21,-2.43,31,window_end,-0.01704,-0.02675,0.3871,0.3871
2026-03-04,sz002865,6,88.04,-15.89,0.16334,0.14496,-3.66,0.06184,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,2.48,0.3099,0.7678,0.01761,0.01136,False,2026-03-18,2026-03-19,83.51,83.7188,2026-03-24,2026-03-25,77.45,77.2564,-7.26,-7.72,9.22,-13.35,4,cum_flow_exit,-0.00145,-0.03,0.25,0.25
2026-03-04,sh601615,7,87.18,-20.86,0.19329,0.1632,-11.15,0.09287,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,11.38,4.8031,0.6195,0.05426,0.03179,False,2026-03-12,2026-03-13,22.6,22.6565,2026-03-19,2026-03-20,19.61,19.561,-13.23,-13.66,2.35,-14.82,5,flow_confirmed_stop,-0.00665,-0.01572,0.6,0.4
2026-03-04,sz002558,8,85.95,-19.66,0.19376,0.18007,-6.86,0.05781,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,0.9,3.0753,0.98,0.04204,0.00929,False,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,flow_confirmed_stop,-0.0183,-0.02858,0.4,0.4
2026-03-04,sz002654,10,85.01,-14.34,0.1223,0.11205,-13.79,0.08652,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,9.82,0.0,0.03419,0.04805,1.44689,-0.04653,-0.08389,0.09127,-7.84,55.47,9.6,-0.1261,1.0809,0.01593,0.01454,False,2026-03-09,2026-03-10,14.94,14.9773,2026-03-20,2026-03-23,14.58,14.5436,-2.41,-2.9,11.85,-0.74,9,cum_flow_exit,0.0193,0.01242,0.3333,0.4444
2026-03-05,sh601615,1,97.17,-16.79,0.14875,0.12141,-13.81,0.12665,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,9.6,6.6717,0.6423,0.0727,0.03787,False,2026-03-12,2026-03-13,22.6,22.6565,2026-03-19,2026-03-20,19.61,19.561,-13.23,-13.66,2.35,-14.82,5,flow_confirmed_stop,-0.00665,-0.01572,0.6,0.4
2026-03-05,sh600602,2,91.75,-11.37,0.10771,0.09775,-7.81,0.12678,2026-03-05,2026-03-09,2026-03-18,pullback_absorption_confirm,12.42,0.0,0.17624,0.14632,2.0526,0.08382,0.10191,-0.01404,-10.06,52.0,14.19,1.8667,1.4018,0.01836,0.03482,False,2026-03-18,2026-03-19,22.32,22.3758,2026-03-24,2026-03-25,21.38,21.3266,-4.21,-4.69,4.39,-9.95,4,cum_flow_exit,-0.0213,-0.04976,0.25,0.25
2026-03-05,sh600481,6,88.97,-18.14,0.17735,0.15081,-12.87,0.17484,2026-03-06,2026-03-10,2026-03-23,pullback_absorption_confirm,4.05,0.0,-0.00185,0.01005,0.86298,0.04471,0.08925,-0.07614,-16.27,52.0,-6.14,-3.4299,0.6156,-0.0152,-0.00719,False,2026-03-23,2026-03-24,7.3,7.3182,2026-03-27,2026-03-30,6.87,6.8528,-5.89,-6.36,3.84,-6.99,4,cum_flow_exit,-0.02966,-0.09404,0.0,0.0
2026-03-06,sz002165,1,92.48,-13.08,0.13368,0.10041,-13.35,0.1167,2026-03-11,2026-03-13,2026-03-17,pullback_absorption_confirm,6.96,-2.77,0.15161,0.15958,1.60949,0.02484,0.04379,-0.09789,-6.74,37.66,4.75,7.4587,1.0737,0.05247,0.0682,False,2026-03-17,2026-03-18,12.38,12.4109,2026-03-19,2026-03-20,10.67,10.6433,-13.81,-14.24,0.08,-10.42,2,flow_confirmed_stop,-0.0507,-0.12143,0.0,0.0
2026-03-06,sz002558,10,85.31,-19.33,0.19238,0.18067,-4.37,0.05363,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,0.93,5.9481,1.0639,0.06582,0.00755,False,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,flow_confirmed_stop,-0.0183,-0.02858,0.4,0.4
2026-03-09,sz002565,5,86.97,-12.87,0.1268,0.09753,-10.62,0.0501,2026-03-13,2026-03-17,2026-03-18,pullback_absorption_confirm,11.75,0.0,0.28902,0.19103,2.35126,0.17368,0.16113,0.46833,-3.8,12.0,11.33,3.254,0.9453,0.08239,0.11558,False,2026-03-18,2026-03-19,16.53,16.5713,2026-03-26,2026-03-27,14.2,14.1645,-14.1,-14.52,5.75,-11.07,6,cum_flow_exit,0.00507,-0.02847,0.1667,0.3333
