feature,loss_mean,loss_median,win_mean,win_median,loss_minus_win_median
launch3_ob_add_sell_vs_hist,0.903986,0.9604,0.9536,0.957,0.0034
launch3_ob_cancel_buy_to_add_buy,0.132231,0.008645,0.276059,0.38571,-0.377065
launch3_ob_cancel_buy_to_add_buy_vs_hist,11.989032,2.2369,2.499365,1.08,1.1569
launch3_ob_oib_ratio,0.149372,-0.02831,0.023431,-0.00417,-0.02414
launch3_ob_cvd_ratio,-0.004841,0.03217,0.018367,0.02464,0.00753
launch3_ob_oib_cvd_gap,0.154214,-0.08681,0.005062,-0.00959,-0.07722
launch3_ob_buy_support_avg,1.31609,1.37903,0.863657,0.51722,0.86181
launch3_ob_support_spread_avg,0.138087,-0.019465,0.014233,-0.00561,-0.013855
pullback_day_ob_add_sell_vs_hist,0.911614,1.0006,0.937513,0.9655,0.0351
pullback_day_ob_cancel_buy_to_add_buy,0.111389,0.0032,0.319815,0.44787,-0.44467
pullback_day_ob_cancel_buy_to_add_buy_vs_hist,2.372009,0.91935,1.624574,1.1528,-0.23345
pullback_day_ob_oib_ratio,0.283373,0.081855,0.200104,0.01585,0.066005
pullback_day_ob_cvd_ratio,-0.01223,0.03021,-0.01917,-0.01557,0.04578
pullback_day_ob_oib_cvd_gap,0.295605,0.14471,0.219276,0.04304,0.10167
pullback_day_ob_buy_support_avg,1.434148,1.468315,1.011862,0.54652,0.921795
pullback_day_ob_support_spread_avg,0.283373,0.081855,0.200104,0.01585,0.066005
pullback_day_ob_super_net_ratio,0.0574,0.02484,0.06871,0.0324,-0.00756
pullback_day_ob_main_net_ratio,0.077727,0.04561,0.082686,0.06506,-0.01945
